payment_id,user_id,order_id,payment_date,amount,payment_method,payment_status,refund_status
P001,U101,O1001,2026-08-20,499,UPI,Success,None
P002,U102,O1002,2026-08-20,799,Card,Success,None
P003,U103,O1003,2026-08-20,299,UPI,Failed,None
P004,U104,O1004,2026-08-21,1299,Net Banking,Success,None
P005,U105,O1005,2026-08-21,599,Card,Success,None
P006,U106,O1006,2026-08-21,999,UPI,Failed,None
P007,U107,O1007,2026-08-22,1499,Card,Success,None
P008,U108,O1008,2026-08-22,399,UPI,Success,Refunded
P009,U109,O1009,2026-08-22,899,Net Banking,Success,None
P010,U110,O1010,2026-08-23,699,UPI,Failed,None
P011,U111,O1011,2026-08-23,1199,Card,Success,None
P012,U112,O1012,2026-08-23,499,UPI,Success,None
P013,U113,O1013,2026-08-24,1599,Card,Success,None
P014,U114,O1014,2026-08-24,799,UPI,Failed,None
P015,U115,O1015,2026-08-24,999,Net Banking,Success,None
P016,U116,O1016,2026-08-25,1299,Card,Success,None
P017,U117,O1017,2026-08-25,599,UPI,Success,None
P018,U118,O1018,2026-08-25,899,Card,Failed,None
P019,U119,O1019,2026-08-26,1499,UPI,Success,None
P020,U120,O1020,2026-08-26,699,Net Banking,Success,None
